Title,Artist,Score,Last_Rank,Last_Number,On_Chart,Unique_id
MISSION,MAZZEL,0.0,14,2132,1,004d00490053004d0041005a
W●RK,millennium parade × 椎名林檎,0.0,6,2139,1,005725cf0052006d0069006c
uni-verse,オーイシマサヨシ,0.0,18,2132,1,0075006e006930aa30fc30a4
TROPICAL NIGHT,JO1,0.0,7,2134,3,00540052004f004a004f0031
愛の花,あいみょん,0.0,15,2157,16,611b306e82b130423044307f
slash,yama,0.0,19,2143,5,0073006c006100790061006d
Teddy Bear-Japanese Ver.-,STAYC,0.0,13,2133,1,005400650064005300540041
全力キング,古川貴之,0.0,14,2133,1,5168529b30ad53e45ddd8cb4
フライデーナイト,なとり,0.0,19,2133,1,30d530e930a4306a3068308a
美しい鰭,スピッツ,0.0,17,2148,15,7f8e3057304430b930d430c3
ABARERO,SixTONE,0.0,10,2139,5,004100420041005300690078
天使は何処へ,≠ME,0.0,16,2138,3,59294f7f306f2260004d0045
アイドル,YOASOBI,0.0,10,2196,3,30a230a430c90059004f0041
絆ノ奇跡,MAN WITH A MISSION×milet,0.0,19,2149,16,7d4630ce5947004d0041004e
オトナブルー,新しい学校のリーダーズ,0.0,13,2134,1,30aa30c830ca65b030573044
Red:birthmark,アイナ・ジ・エンド,0.0,17,2134,1,00520065006430a230a430ca
One choice,日向坂46,0.0,8,2136,2,004f006e006565e554115742
PANORAMA JET,FANTASTICS from EXILE TRIBE,0.0,11,2136,2,00500041004e00460041004e
TATTOO,Official髭男dism,0.0,6,2145,11,005400410054004f00660066
グラデーション,SUPER BEAVER,0.0,11,2135,1,30b030e930c7005300550050
コイコガレ,milet×MAN WITH A MISSION,0.0,14,2147,13,30b330a430b3006d0069006c
紙一重,Uru,0.0,19,2135,1,7d194e0091cd005500720075
Smile Again,BE:FIRST,0.0,8,2144,1,0053006d006900420045003a
どうしても君が好きだ,AKB48,0.0,11,2148,5,3069304630570041004b0042
ケセラセラ,Mrs.GREEN APPLE,0.0,20,2181,18,30b130bb30e9004d00720073
Great Mistakes,BE:FIRST,0.0,15,2136,1,00470072006500420045003a
Super,SEVENTEEN,0.0,16,2136,1,005300750070005300450056
Cream,Sexy Zone,0.0,14,2145,1,004300720065005300650078
16BOOSTERZ,RAMPAGE from EXILE TRIBE,0.0,2,2137,1,00310036004200520041004d
kyo-do?,私立恵比寿中学,0.0,8,2137,1,006b0079006f79c17acb6075
心得,Uru,0.0,19,2146,10,5fc35f97005500720075
UNFORGIVEN(feat.NILE RODGERS),LE SSERAFIM,0.0,6,2170,3,0055004e0046004c00450020
未完成,関ジャニ∞,0.0,15,2144,5,672a5b8c621095a230b830e3
はじめての,YOASOBI,0.0,7,2138,1,306f305830810059004f0041
The Planet,BTS,0.0,19,2139,2,005400680065004200540053
いばら,Ado,0.0,11,2138,1,30443070308900410064006f
斜陽,ヨルシカ,0.0,13,2138,1,659c967d30e830eb30b7
Vivid,MAZZEL,0.0,8,2140,2,005600690076004d0041005a
Moving Pieces,Travis Japan,0.0,5,2140,2,004d006f0076005400720061
鋼の騎士Q/Never Say Die,THE ALFEE,0.0,5,2139,1,92fc306e9a0e005400480045
メフィスト,女王蜂,0.0,12,2145,7,30e130d530a35973738b8702
FANFARE,INI,0.0,17,2142,3,00460041004e0049004e0049
Stray Hearts,稲葉浩志,0.0,9,2141,2,0053007400727a3284496d69
私の猫の目,椎名林檎,0.0,13,2140,1,79c1306e732b690e540d6797
See Youre Heart,Lead,0.0,16,2140,1,005300650065004c00650061
Magic,BUDDiiS,0.0,17,2140,1,004d00610067004200550044
DEAR MY LOVER,Hey!Say!JUMP,0.0,13,2143,3,004400450041004800650079
Hare Hare,TWICE,0.0,19,2149,6,004800610072005400570049
Ding Ding Dong,BALLISTIK BOYS from EXILE TRIBE,0.0,7,2141,1,00440069006e00420041004c
Hand in Hand,三代目 J SOUL BROTHERS,0.0,13,2141,1,00480061006e4e094ee376ee
アビが鳴く,ポルノグラフィティ,0.0,15,2141,1,30a230d3304c30dd30eb30ce
WHO!,BOYNEXTDOOR,0.0,16,2141,1,00570048004f0042004f0059
ラブレター,The Brow Beat,0.0,17,2141,1,30e930d630ec005400680065
そんなbitterな話,Vaundy,0.0,19,2141,1,305d3093306a005600610075
しあわせの花,ジャニーズWEST,0.0,14,2143,2,30573042308f30b830e330cb
Take Two,BTS,0.0,10,2143,2,00540061006b004200540053
Starting Over,sumika,0.0,11,2142,1,00530074006100730075006d
俺は最強!!!,郷ひろみ,0.0,16,2142,1,4ffa306f670090f73072308d
サンライズ・ムーン~宇宙に行こう~,DA PUMP,0.0,18,2142,1,30b530f330e9004400410020
こっから,SixTONES,0.0,9,2148,6,30533063304b005300690078
アイノケダモノ,アンジュルム,0.0,5,2143,1,30a230a430ce30a230f330b8
Magic,Mrs.GREEN APPLE,0.0,15,2150,8,004d00610067004d00720073
REALiZE,LiSA,0.0,16,2144,2,005200450041004c00690053
DOROP That,INI,0.0,13,2144,5,0044004f00520049004e0049
なにもの,King & Prince,0.0,10,2148,5,306a306b3082004b0069006e
Start over!,櫻坂46,0.0,18,2150,7,0053007400616afb57420034
SUBWAY,ゆず,0.0,15,2144,1,0053005500423086305a
ダンディライオン,田原俊彦,0.0,17,2144,1,30c030f330c77530539f4fca
tour,Hump Back,0.0,18,2144,1,0074006f007500480075006d
月を見ていた,米津玄師,0.0,16,2148,4,67083092898b7c736d257384
ターコイズ,SEKAI NO OWARI,0.0,11,2145,1,30bf30fc30b300530045004b
Lime & Lemon,東方神起,0.0,18,2145,1,004c0069006d677165b9795e
Candy Kiss,Travis Japan,0.0,2,2146,1,00430061006e005400720061
好きになっちゃった,SKE48,0.0,11,2158,4,597d304d306b0053004b0045
Sweet,OCTPATH,0.0,5,2146,1,005300770065004f00430054
青のすみか,キタニタツヤ,0.0,7,2168,20,9752306e305930ad30bf30cb
Groovy -Japanese ver. -,CRAVITY,0.0,18,2147,2,00470072006f004300520041
Lily Flower,AVEST,0.0,16,2146,1,004c0069006c004100560045
STARS,B'z,0.0,14,2152,6,00530054004100420027007a
プライド・ブライト,Juice=Juice,0.0,5,2147,1,30d730e930a4004a00750069
イーアーティエイチスィーナーエイチキューカーエイチケームビーネーズィーウーオム,BiS,0.0,8,2147,1,30a430fc30a2004200690053
向日葵,Ado,0.0,19,2155,7,541165e5847500410064006f
リボン,SUPER☆GiRLS,0.0,17,2147,1,30ea30dc30f3005300550050
地球儀,米津玄師,0.0,8,2153,7,5730740351007c736d257384
ナツマトペ, =LOVE,0.0,16,2150,2,30ca30c430de0020003d004c
盆ギリ恋歌,サザンオールスターズ,0.0,6,2148,1,76c630ae30ea30b530b630f3
ノンフィクション,松下洸平,0.0,8,2148,1,30ce30f330d5677e4e0b6d38
MY Story,INI,0.0,12,2148,1,004d005900200049004e0049
ENCORE AGAIN,UVERworld,0.0,18,2148,1,0045004e0043005500560045
Summer Riot ~熱帯夜~,THE RAMPAGE from EXILE TRIBE,0.0,4,2150,2,00530075006d005400480045
Am I ready?,日向坂46,0.0,7,2150,2,0041006d002065e554115742
あのさ、いや別に・・・,NGT48,0.0,6,2149,1,3042306e3055004e00470054
歌えニッポンの空,サザンオールスターズ,0.0,7,2149,1,6b4c304830cb30b530b630f3
Gold ~また逢う日まで~,宇多田ヒカル,0.0,8,2149,1,0047006f006c5b87591a7530
サマータイムシンデレラ,緑黄色社会,0.0,17,2155,7,30b530de30fc7dd19ec48272
Sync Of Summer,山下達郎,0.0,13,2149,1,00530079006e5c714e0b9054
HUMAN NATURE WORLD,FES☆TIVE,0.0,15,2149,1,00480055004d004600450053
怪獣のサイズ,back number,0.0,14,2150,2,602a7363306e006200610063
TOKYO EMPiRE,SAD originals.,0.0,18,2149,1,0054004f004b005300410044
オオカミと彗星,関ジャニ∞,0.0,18,2153,4,30aa30aa30ab95a230b830e3
Chessboard,Official髭男dism,0.0,7,2154,2,004300680065004f00660066
Tell Me,FANTASTICS from EXILE TRIBE,0.0,17,2151,2,00540065006c00460041004e
That That That,BLACK IRIS,0.0,9,2151,2,0054006800610042004c0041
Rainy Days,V,0.0,13,2150,1,0052006100690056
Love Me Again,V,0.0,16,2150,1,004c006f00760056
エンジョイ,めいちゃん,0.0,17,2150,1,30a830f330b8308130443061
Cross,亀梨和也,0.0,10,2152,2,00430072006f4e8068a8548c
あまキュン,カラフルダイヤモンド,0.0,6,2151,1,3042307e30ad30ab30e930d5
生命体,星野源,0.0,11,2169,1,751f547d4f53661f91ce6e90
I'm a mess,MY FIRST STORY,0.0,19,2157,6,00490027006d004d00590020
CANDY,ICEx,0.0,12,2151,1,00430041004e004900430045
Moment,INI,0.0,13,2151,1,004d006f006d0049004e0049
CRUISIN',INP.,0.0,14,2151,1,0043005200550049004e0050
LIGHTNING,MAZZEL,0.0,15,2151,1,004c00490047004d0041005a
おひとりさま天国,乃木坂46,0.0,16,2157,5,304a307230684e4367285742
Jettin’,THE JET BOY BANGERS from EXILE TRIBE,0.0,4,2152,1,004a00650074005400480045
Sweet Rain,WOLF HOWL HARMONEY from EXILE TRIBE,0.0,5,2152,1,0053007700650057004f004c
Wheelie,KID PHENOMENON from EXILE TRIBE,0.0,6,2152,1,005700680065004b00490044
Workin’ Hard,藤井風,0.0,9,2153,2,0057006f007285e44e9598a8
今この瞬間を,Little Glee Monster,0.0,12,2152,1,4eca3053306e004c00690074
MAKE It Out Alive,ONE OK ROCK,0.0,12,2153,2,004d0041004b004f004e0045
命日,ちゃんみな,0.0,17,2153,2,547d65e5306130833093
CREAK,SixTONES,0.0,14,2157,5,004300520045005300690078
SPECIALZ,King Gnu,0.0,19,2172,20,005300500045004b0069006e
Salvia,BE:FIRST,0.0,6,2153,1,00530061006c00420045003a
青空について考える,僕が見たかった青空,0.0,11,2153,1,97527a7a306b50d5304c898b
more than words,羊文字,0.0,17,2156,4,006d006f00727f8a65875b57
Social Path,Stray Kids,0.0,15,2153,1,0053006f0063005300740072
切っ先,Reol,0.0,19,2153,1,52073063514800520065006f
Dangerholic,SnowMan,0.0,17,2168,14,00440061006e0053006e006f
Moon,perfume,0.0,3,2154,1,004d006f006f007000650072
結 ーYOUー,ENHYPEN,0.0,18,2157,4,7d50002030fc0045004e0048
想わせぶりっこ,≠ME,0.0,18,2163,2,60f3308f305b2260004d0045
唱,Ado,0.0,20,2179,26,553100410064006f
サマー☆★げっちゅー,THE SUPER FRUIT,0.0,14,2154,1,30b530de30fc005400480045
Mainstream,BE:FIRST,0.0,4,2157,2,004d0061006900420045003a
Make Up Day,なにわ男子,0.0,15,2161,6,004d0061006b306a306b308f
心音,中島みゆき,0.0,17,2156,2,5fc397f34e2d5cf6307f
わたしの一番かわいいところ,FRUITS ZIPPER,0.0,11,2155,1,308f305f3057004600520055
スクラップアート,水瀬いのり,0.0,13,2155,1,30b930af30e96c34702c3044
硝子窓,King Gnu,0.0,16,2156,2,785d5b507a93004b0069006e
日常,Official髭男dism,0.0,10,2156,2,65e55e38004f00660066
本音と建前,Sexy Zone,0.0,8,2158,3,672c97f33068005300650078
Relay~杜の詩,サザンオールスターズ,0.0,12,2157,2,00520065006c30b530b630f3
最高到達点,SEKAI NO OWARI,0.0,17,2166,9,67009ad8523000530045004b
My One Wish,Ken Yokoyama,0.0,7,2165,1,004d00790020004b0065006e
Venus,JO1,0.0,15,2156,1,00560065006e004a004f0031
アイドルなんかじゃなかったら,AKB48,0.0,13,2165,7,30a230a430c90041004b0042
勇者,YOASOBI,0.0,19,2181,19,52c780050059004f0041
いけないfool logic,UNISON SQUARE GARDEN,0.0,13,2157,1,30443051306a0055004e0049
ゲイシャフジヤマ,#ババババンビ,0.0,15,2157,1,30b230a430b7002330d030d0
Anytime Anywhere,milet,0.0,18,2160,4,0041006e0079006d0069006c
渚サイコー!,NMB48,0.0,12,2167,4,6e1a30b530a4004e004d0042
クラクラ,Ado,0.0,17,2165,8,30af30e930af00410064006f
All I Ever Wanted feat.GULF KANAWUT,BALLISTIK BOYZ from EXILE TRIBE,0.0,14,2162,4,0041006c006c00420041004c
白色蜉蝣,Aimer,0.0,9,2166,2,767d8272870900410069006d
With,幾田りら,0.0,14,2158,1,0057006900745e7e7530308a
ノット・オーケー,あいみょん,0.0,17,2158,1,30ce30c330c830423044307f
TAG ME(HANA_花),INI,0.0,20,2172,1,0054004100470049004e0049
花,藤井風,0.0,16,2167,8,82b185e44e9598a8
THE X(Dont'Be Jealous/FLAVOR/Thank you),ソ・イングク,0.0,10,2159,1,00540048004530bd30fb30a4
JUST DANCE!,Travis Japan,0.0,13,2159,1,004a00550053005400720061
トドメの一撃(feat.Cory Wong),Vaundy,0.0,14,2159,1,30c830c930e1005600610075
ANTENNA,Mrs.GREEN APPLE,0.0,15,2160,2,0041004e0054004d00720073
承認欲求,櫻坂46,0.0,8,2163,5,627f8a8d6b326afb57420034
Carnival,MAZZEL,0.0,2,2160,1,004300610072004d0041005a
SWITCHing,IMP.,0.0,10,2160,1,0053005700490049004d0050
絶体絶命,ジャニーズWEST,0.0,1,2161,1,7d764f537d7630b830e330cb
すっごいFEVER!,モーニング娘。'23,0.0,3,2161,1,30593063305430e230fc30cb
No more cry,エレファントカシマシ,0.0,8,2161,1,004e006f002030a830ec30d5
花になって -Be a flower,緑黄色社会,0.0,13,2014,1,82b1306b306a7dd19ec48272
ひかりのあと,上白石萌音,0.0,17,2161,1,3072304b308a4e0a767d77f3
あなたに,Mrs.GREEN APPLE,0.0,18,2161,1,3042306a305f004d00720073
絶体絶命,WEST.,0.0,18,2163,3,7d764f537d76005700450053
HEARTRIS,NiziU,0.0,16,2163,2,004800450041004e0069007a
Perfect Night,LE SSERAFIM,0.0,15,2166,1,005000650072004c00450020
kimoto,Lienel,0.0,13,2162,1,006b0069006d004c00690065
Now And Then,THE Beatles,0.0,15,2162,1,004e006f0077005400480045
65535,中川翔子,0.0,17,2162,1,0036003500354e2d5ddd7fd4
愛し生きること,King & Prince,0.0,15,2167,4,611b3057751f004b0069006e
Glorius,BE:FIRST,0.0,2,2163,1,0047006c006f00420045003a
片隅,THE RAMPAGE from EXILE TRIBE,0.0,4,2163,1,72479685005400480045
Ashes,Superfly,0.0,13,2166,3,004100730068005300750070
Awakening,三代目 J SOUL BROTHERS from EXILE TRIBE,0.0,15,2163,1,0041007700614e094ee376ee
I Wish,なにわ男子,0.0,14,2169,6,004900200057306a306b308f
君は何を後悔するのか?,STU48,0.0,17,2180,9,541b306f4f55005300540055
Biri-Biri,YOASOBI,0.0,3,2178,4,0042006900720059004f0041
unravel,Ado,0.0,13,2164,1,0075006e007200410064006f
 Now And Then,THE Beatles,0.0,19,2167,4,0020004e006f005400480045
 愛は勝つ,KAN,0.0,15,2164,1,0020611b306f004b0041004e
Monopoly,乃木坂46,0.0,19,2174,9,004d006f006e4e4367285742
ギフテッド,NEWS,0.0,14,2166,2,30ae30d530c6004e00450057
星の降る日に,aiko,0.0,18,2166,2,661f306e964d00610069006b
UP TO ME !,Little Glee Monster,0.0,8,2165,1,005500500020004c00690074
乱心-RANSHIN-,Hiromitsu Kitaayama,0.0,11,2165,1,4e715fc3002d004800690072
ラストノートしか知らない, =LOVE,0.0,13,2168,3,30e930b930c80020003d004c
Kissin' Christmas(クリスマスだからじゃない),桑田佳祐&松任谷由実,0.0,12,2167,2,004b00690073685175304f73
あのね,あいみょん,0.0,13,2168,2,3042306e306d30423044307f
想望,福山雅治,0.0,16,2168,2,60f3671b798f5c7196c5
人生遊戯,Sexy Zone,0.0,18,2171,3,4eba751f904a005300650078
RED LINE,アンジュルム,0.0,7,2168,1,00520045004430a230f330b8
Sleep Walking Orchestra,BUMP OF CHICKEN,0.0,8,2168,1,0053006c006500420055004d
SOULSOUP,Official髭男dism,0.0,10,2170,3,0053004f0055004f00660066
あいのロックンロール,ザ・クロマニヨンズ,0.0,17,2168,1,30423044306e30b630fb30af
クリスマスソング,backnumber,0.0,18,2168,1,30af30ea30b9006200610063
GOAT,Number_i,0.0,11,2179,7,0047004f0041004e0075006d
シュレーディンガー,Kinki Kids,0.0,12,2170,2,30b730e530ec004b0069006e
晴る,ヨルシカ,0.0,17,2185,17,6674308b30e830eb30b7
VIOLET LINE,Roselia,0.0,15,2169,1,00560049004f0052006f0073
晩餐歌,tuki.,0.0,7,2193,8,666999106b4c00740075006b
シェキラ☆☆☆,Liella!,0.0,4,2170,1,30b730a730ad004c00690065
バケツを被れ!,HKT48,0.0,20,2183,2,30d030b130c40048004b0054
酔うほどに,岩本公水,0.0,13,2170,1,91543046307b5ca9672c516c
C‘monova,Kis-My-Ft2,0.0,5,2171,2,00432018006d004b00690073
U&I,Hi-Fi Un!corn,0.0,15,2170,1,00550026004900480069002d
Your Key,JO1,0.0,18,2170,1,0059006f0075004a004f0031
Bling-Bang-Bang-Born,Creepy Nuts,0.0,5,2197,30,0042006c0069004300720065
ナハトムジーク,Mrs. GREEN APPLE,0.0,20,2174,2,30ca30cf30c8004d00720073
Heaven’s Seven,ASP,0.0,13,2171,1,004800650061004100530050
アンビバレント,Uru,0.0,18,2181,10,30a230f330d3005500720075
握手をしよう〜世界の国からこんにちは〜,東京力車,0.0,17,2171,1,63e1624b309267714eac529b
アンチコンフィチュール,≠ME,0.0,19,2171,1,30a230f330c12260004d0045
CHA∞IN,内田真礼,0.0,20,2171,1,00430048004151857530771f
FREEDOM,西川貴教 with t.komuro,0.0,17,2177,6,004600520045897f5ddd8cb4
去り際のロマンティクス,See-Saw,0.0,17,2176,5,53bb308a969b005300650065
アンスロポス,関ジャニ∞,0.0,18,2175,4,30a230f330b995a230b830e3
Kiss Plan,M!LK,0.0,5,2172,1,004b00690073004d0021004c
冬と春,back number,0.0,18,2174,3,51ac30686625006200610063
Party!!,緑黄色社会,0.0,18,2172,1,0050006100727dd19ec48272
卒業まで,僕が見たかった青空,0.0,2,2014,2,5352696d307e50d5304c898b
Snowin',DXTEEN,0.0,4,2014,2,0053006e006f004400580054
ex-Doll,高野洸,0.0,10,2014,2,00650078002d9ad891ce6d38
Bull's Eye,ORβIT,0.0,14,2014,2,00420075006c004f005203b2
Waterfall,MAZZEL,0.0,16,2014,2,005700610074004d0041005a
ショコラカタブラ,Ado,0.0,19,2014,2,30b730e730b300410064006f
幾億光年,Omoinotake,0.0,19,2197,28,5e7e51045149004f006d006f
CHEMY×STORY,BACK-ON × FLOW,0.0,3,2174,1,004300480045004200410043
BREMEN,OWV,0.0,4,2174,1,004200520045004f00570056
水たまり,Blue Journey,0.0,12,2174,1,6c34305f307e0042006c0075
純烈魂,純烈,0.0,14,2174,1,7d1470c89b427d1470c8
LOVE TRIGGER,Snow Man,0.0,18,2184,8,004c004f00560053006e006f
何色でもない花,宇多田ヒカル,0.0,5,2175,1,4f55827230675b87591a7530
After you!,キョコロヒー,0.0,8,2175,1,00410066007430ad30e730b3
We’ll go together,Snow Man,0.0,13,2175,1,0057006520190053006e006f
オレンジ,SPYAIR,0.0,14,2180,6,30aa30ec30f3005300500059
Frozen Butterfly,WOLF HOWL HARMONY from EXILE TRIBE,0.0,16,2175,1,00460072006f0057004f004c
戦いが消えた日,SAD originals.,0.0,17,2175,1,62263044304c005300410044
CRAZY CIRCUIT,D.O.L,0.0,19,2175,1,0043005200410044002e004f
何歳の頃に戻りたいのか?,櫻坂46,0.0,13,2181,6,4f556b73306e6afb57420034
OCTAVE,OCTPATH,0.0,4,2176,1,004f00430054004f00430054
美しく生きろ,高嶺のなでしこ,0.0,11,2176,1,7f8e3057304f9ad85dba306e
We'll go together,Snow Man,0.0,12,2181,7,0057006500270053006e006f
Daydream,OCTPATH,0.0,15,2176,1,004400610079004f00430054
ひとみ,福山雅治,0.0,16,2176,1,30723068307f798f5c7196c5
恋を知った世界,高嶺のなでしこ,0.0,18,2176,1,604b309277e59ad85dba306e
Aqua,JO1,0.0,19,2176,1,004100710075004a004f0031
冬空ラプソディー,Jams Collection,0.0,20,2176,1,51ac7a7a30e9004a0061006d
WISH,NCT WISH,0.0,20,2182,2,005700490053004e00430054
愛のホログラム,SKE48,0.0,17,2187,8,611b306e30db0053004b0045
NOT OKAY,ATEEZ,0.0,14,2178,2,004e004f0054004100540045
タイムパラドックス,Vaundy,0.0,9,2186,9,30bf30a430e0005600610075
Set Sail,BE:FIRST,0.0,10,2177,1,00530065007400420045003a
サヨナラのかわりに,TUBE × GACKT,0.0,18,2177,1,30b530e830ca005400550042
BET,Hiromitsu Kitayama,0.0,19,2177,1,004200450054004800690072
puzzle,Sexy Zone,0.0,14,2183,1,00700075007a005300650078
呪って呪って,=LOVE,0.0,18,2183,1,546a30633066003d004c004f
New Rise,SUPER★DRAGON,0.0,5,2178,1,004e00650077005300550050
Parade,MAZZEL,0.0,15,2178,1,005000610072004d0041005a
タイムマシン,SEKAI NO OWARI,0.0,16,2178,1,30bf30a430e000530045004b
カラコンウインク,AKB48,0.0,10,2189,1,30ab30e930b30041004b0042
満ちてゆく,藤井風,0.0,16,2183,5,6e803061306685e44e9598a8
Gifted. -Orchestra ver.-,BE:FIRST,0.0,7,2179,1,00470069006600420045003a
ヴーカ・ヴーカ〜恋の筋肉〜,BOYS AND MEN,0.0,15,2179,1,30f430fc30ab0042004f0059
SWEET NONFICTION,NiziU,0.0,20,2179,1,005300570045004e0069007a
二度寝,Creepy Nuts,0.0,20,2186,7,4e8c5ea65bdd004300720065
T.G.I. Friday Night,Travis Japan,0.0,4,2180,1,0054002e0047005400720061
Overnight Rainbow,ukka,0.0,16,2180,1,004f007600650075006b006b
絶絶絶絶対聖域,ano feat.幾田りら,0.0,17,2180,1,7d767d767d760061006e006f
ゆらゆら -運命の花-,ZEROBASEONE,0.0,4,2184,4,308630893086005a00450052
解放区,ポルノグラフィティ,0.0,5,2181,1,89e3653e533a30dd30eb30ce
HAPPY UNBIRTHDAY,JO1,0.0,15,2181,1,004800410050004a004f0031
